continent,dw_region,region,income,iso3,country,city,year,pm10.mean,pm10.coverage,pm10.converted,pm25.mean,pm25.coverage,pm25.converted,stations,reference,db.version,status
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,La Trobe Valley,2014,20,NA,Measured,10,NA,Measured,"2 stations, residential, rural",http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf,2016,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Mackay,2016,20,>75%,Measured,9,NA,Converted,1 N.A.,Queensland Government Data,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Melbourne,2014,19,NA,Measured,8,NA,Measured,"10 stations, Residential/Light Industry",http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf,2016,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Moranbah,2016,22,>75%,Measured,10,NA,Converted,1 N.A.,Queensland Government Data,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Mount Isa,2016,17,>75%,Measured,7,NA,Converted,1 N.A.,Queensland Government Data,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Muswellbrook,2016,19,>75%,Measured,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Newcastle,2016,23,>75%,Measured,8,>75%,Measured,"2 Campaign Site, 3 Non Nepm Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Palmerston,2016,15,>75%,Measured,7,>75%,Measured,1 Sub-Urban,,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Perth,2016,15,>75%,Measured,8,>75%,Measured,8 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Singleton,2016,19,>75%,Measured,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Sydney,2016,17,>75%,Measured,8,>75%,Measured,"2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site",Office of Environment and Heritage NSW Government,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Tamworth,2016,15,>75%,Measured,7,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Townsville,2015,18,>75%,Measured,8,NA,Converted,1 N.A.,Queensland Government Data,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Wagga Wagga,2016,21,>75%,Measured,7,>75%,Measured,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Whyalla,2016,15,>75%,Measured,6,NA,Converted,"1 Industry, 1 Residential",EPA South Australia,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Wollongong,2016,17,>75%,Measured,7,>75%,Measured,"2 Peformance Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Wynnum,2016,14,>75%,Measured,4,>75%,Measured,2 N.A.,Queensland Government Data,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Wyong,2016,15,>75%,Measured,6,>75%,Measured,1 Peformance Site,Office of Environment and Heritage NSW Government,2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Amstetten,2016,17,>75%,Measured,12,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Arnoldstein,2016,12,>75%,Measured,8,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Bad Voslau,2016,17,>75%,Measured,12,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Biedermannsdorf,2016,18,>75%,Measured,13,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Bludenz,2016,14,>75%,Measured,10,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Bratislava,2016,22,>75%,Measured,15,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Braunau Am Inn,2016,17,>75%,Measured,12,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Brixlegg,2016,15,>75%,Measured,11,>75%,Measured,3 Rural-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Bruck An Der Mur,2016,21,>75%,Measured,15,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Burgfried,2016,16,>75%,Measured,12,>75%,Measured,2 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Deutschlandsberg,2016,18,>75%,Measured,13,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Donawitz,2016,16,>75%,Measured,11,NA,Converted,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Dornbirn,2016,15,>75%,Measured,11,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Ebenthal,2013,20,NA,Measured,15,NA,Converted,"1 station, background, rural","European Environment Agency, Air quality e-reporting database",2016,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Ebenthal In Karnten,2016,21,>75%,Measured,15,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Eisenstadt,2016,19,>75%,Measured,13,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Enns,2016,21,>75%,Measured,15,NA,Converted,1 Rural-Near_city-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Feldkirch,2016,16,>75%,Measured,11,NA,Converted,1 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Freistadt,2016,12,>75%,Measured,9,>75%,Measured,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Furstenfeld,2016,21,>75%,Measured,15,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Ganserndorf,2016,19,>75%,Measured,14,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Gemeinde Gratwein,2014,20,>75%,Measured,14,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Gemeinde Imst,2016,14,>75%,Measured,10,NA,Converted,1 Suburban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Gmunden,2016,12,>75%,Measured,9,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Goss,2016,16,>75%,Measured,11,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Graz,2016,23,>75%,Measured,17,>75%,Measured,"4 Suburban-Background, 1 Suburban-Traffic, 3 Urban-Background, 2 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Graz-Umgebung,2016,16,>75%,Measured,12,NA,Converted,1 Rural-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Hainburg An Der Donau,2016,20,>75%,Measured,14,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Hall In Tirol,2016,17,>75%,Measured,12,NA,Converted,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Hallein,2016,17,>75%,Measured,12,>75%,Measured,"1 Rural-Regional-Traffic, 2 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Hartberg,2016,21,>75%,Measured,15,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Haselbach,2016,17,>75%,Measured,12,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Heiterwang,2016,10,>75%,Measured,7,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Hermagor,2016,6,>75%,Measured,5,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Herzogberg,2016,13,>75%,Measured,9,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Himberg,2013,23,NA,Measured,17,NA,Converted,"1 station, traffic, suburban","European Environment Agency, Air quality e-reporting database",2016,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Himberg Bei Wien,2016,19,>75%,Measured,13,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Hochst,2016,17,>75%,Measured,12,NA,Converted,1 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Hollabrunn,2016,15,>75%,Measured,11,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Illmitz,2016,16,>75%,Measured,13,>75%,Measured,3 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Imst,2013,18,NA,Measured,13,NA,Converted,"1 station, traffic, rural","European Environment Agency, Air quality e-reporting database",2016,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Innsbruck,2016,16,>75%,Measured,11,>75%,Measured,4 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Judenburg,2016,14,>75%,Measured,10,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Judendorf-Strassengel,2016,23,>75%,Measured,16,NA,Converted,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Kapfenberg,2016,14,>75%,Measured,10,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Kematen,2013,20,NA,Measured,15,NA,Converted,"1 station, traffic, urban","European Environment Agency, Air quality e-reporting database",2016,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Kematen An Der Ybbs,2016,15,>75%,Measured,10,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Klagenfurt,2013,23,NA,Measured,14,NA,Measured,"2 stations, traffic, urban","European Environment Agency, Air quality e-reporting database",2016,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Klagenfurt Am Worthersee,2016,20,>75%,Measured,13,>75%,Measured,"1 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Klosterneuburg,2016,19,>75%,Measured,14,NA,Converted,1 Suburban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Knittelfeld,2016,16,>75%,Measured,11,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Koflach,2016,25,>75%,Measured,17,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Krems,2013,24,NA,Measured,17,NA,Converted,"1 station, background, urban","European Environment Agency, Air quality e-reporting database",2016,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Krems An Der Donau,2016,17,>75%,Measured,12,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Kreuth,2016,6,>75%,Measured,5,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Kriegen,2016,14,>75%,Measured,10,>75%,Measured,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Kufstein,2016,11,>75%,Measured,8,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Leibnitz,2016,18,>75%,Measured,15,>75%,Measured,"1 Rural-Background, 1 Suburban-Background",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Lenzing,2016,17,>75%,Measured,12,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Leoben,2016,21,>75%,Measured,14,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Lienz,2016,16,>75%,Measured,11,>75%,Measured,3 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Liezen,2016,13,>75%,Measured,9,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Linz,2016,21,>75%,Measured,15,>75%,Measured,"1 Suburban-Industrial, 3 Urban-Background, 3 Urban-Industrial, 3 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Lustenau,2016,16,>75%,Measured,11,>75%,Measured,"1 Suburban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Mistelbach,2016,19,>75%,Measured,13,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Modling,2016,20,>75%,Measured,14,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Murzzuschlag,2016,16,>75%,Measured,11,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Natters,2016,16,>75%,Measured,11,NA,Converted,1 Suburban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Oberschutzen,2016,19,>75%,Measured,13,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Obervellach-West,2016,10,>75%,Measured,7,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Oberwart,2014,22,>75%,Measured,15,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Peggau,2016,21,>75%,Measured,15,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Reding,2014,20,>75%,Measured,16,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Reichraming,2016,7,>75%,Measured,5,>75%,Measured,2 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Salzburg,2016,14,>75%,Measured,10,>75%,Measured,3 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Sankt Andra,2016,21,>75%,Measured,14,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Sankt Andra Im Lavanttal,2013,24,NA,Measured,18,NA,Converted,"1 station, industrial, urban","European Environment Agency, Air quality e-reporting database",2016,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Sankt Poelten,2013,24,NA,Measured,18,NA,Measured,"1 station, background, suburban","European Environment Agency, Air quality e-reporting database",2016,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Sankt Polten,2016,18,>75%,Measured,13,>75%,Measured,"2 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Sankt Veit An Der Glan,2016,18,>75%,Measured,12,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Sankt Veit An Der Glan District,2016,12,>75%,Measured,9,NA,Converted,1 Rural-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Scherighof,2014,11,>75%,Measured,8,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Schondorf,2016,16,>75%,Measured,12,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Schwaz,2013,20,NA,Measured,15,NA,Converted,"1 station, traffic, suburban","European Environment Agency, Air quality e-reporting database",2016,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Schwechat,2016,19,>75%,Measured,13,>75%,Measured,3 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Schweighof,2016,9,>75%,Measured,6,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Spittal An Der Drau,2016,17,>75%,Measured,12,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Steyr,2016,16,>75%,Measured,11,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Steyregg,2016,20,>75%,Measured,14,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Stixneusiedl,2016,18,>75%,Measured,13,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Stockerau,2016,20,>75%,Measured,14,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Streithofen,2016,14,>75%,Measured,10,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Tamsweg,2016,14,>75%,Measured,10,NA,Converted,"2 Rural-Traffic, 1 Suburban-Background",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AUT,Austria,Thaures,2016,14,>75%,Measured,10,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
